1,173.75,163,20.5,50,14.636
1,146.77,158.71,26.452,64.516,11.538
1,126.13,163.87,26.452,64.516,8.8712
1,441.63,160.36,22.334,54.474,8.3102
1,555.37,147.04,34.577,84.335,8.0794
1,453.75,159,20.5,50,8.0161
1,532.87,138.46,37.762,92.102,5.7322
1,564.93,93.818,44.846,109.38,2.8246
1,587.5,134,41,100,0.4695
2,173.75,163,20.5,50,14.636
2,146.77,158.71,26.452,64.516,11.538
2,126.13,163.87,26.452,64.516,8.8712
2,441.63,160.36,22.334,54.474,8.3102
2,555.37,147.04,34.577,84.335,8.0794
2,453.75,159,20.5,50,8.0161
2,532.87,138.46,37.762,92.102,5.7322
2,564.93,93.818,44.846,109.38,2.8246
2,587.5,134,41,100,0.4695
3,173.75,163,20.5,50,14.636
3,146.77,158.71,26.452,64.516,11.538
3,126.13,163.87,26.452,64.516,8.8712
3,441.63,160.36,22.334,54.474,8.3102
3,555.37,147.04,34.577,84.335,8.0794
3,453.75,159,20.5,50,8.0161
3,532.87,138.46,37.762,92.102,5.7322
3,564.93,93.818,44.846,109.38,2.8246
3,587.5,134,41,100,0.4695
4,171.7,160.36,22.334,54.474,14.584
4,146.77,158.71,26.452,64.516,11.603
4,535.16,147.04,34.577,84.335,7.8249
4,560.66,91.304,53.647,130.85,7.5202
4,453.75,159,20.5,50,6.5581
4,126.13,163.87,26.452,64.516,6.0543
4,445.75,163,20.5,50,3.3439
4,157.1,158.71,26.452,64.516,2.029
4,587.5,142,41,100,1.8948
4,437.75,163,20.5,50,1.207
5,453.75,159,20.5,50,14.796
5,173.75,163,20.5,50,13.338
5,149.04,160.4,24.322,59.321,8.5624
5,441.75,159,20.5,50,7.7203
5,531.92,152.31,31.538,76.923,7.3908
5,560.66,101.74,53.647,130.85,4.9163
5,165.75,159,20.5,50,4.828
5,126.13,158.71,26.452,64.516,4.1522
5,136.45,158.71,26.452,64.516,3.9495
5,197.75,163,20.5,50,2.751
5,544.23,152.31,31.538,76.923,2.5293
5,505.75,159,20.5,50,2.1779
5,617.75,199,20.5,50,1.0786
6,173.75,163,20.5,50,17.593
6,149.04,160.4,24.322,59.321,15.062
6,453.75,159,20.5,50,11.436
6,532.87,145.85,37.762,92.102,10.069
6,136.45,158.71,26.452,64.516,8.1521
6,437.75,159,20.5,50,6.8166
6,565,88.571,58.571,142.86,4.3957
6,157.1,153.55,26.452,64.516,4.3658
6,445.75,155,20.5,50,3.903
6,505.75,155,20.5,50,3.7471
6,99.5,126,41,100,-0.35892
7,173.75,159,20.5,50,14.271
7,535.16,147.04,34.577,84.335,11.79
7,149.04,160.4,24.322,59.321,10.385
7,560.66,101.74,53.647,130.85,10.24
7,136.45,158.71,26.452,64.516,9.1507
7,441.75,159,20.5,50,9.0022
7,453.75,155,20.5,50,7.4676
7,197.75,163,20.5,50,4.2558
7,125.33,160.4,24.322,59.321,2.5415
7,591.23,128.73,44.846,109.38,1.9886
7,505.75,155,20.5,50,0.92796
8,173.75,163,20.5,50,15.359
8,532.87,145.85,37.762,92.102,15.213
8,197.75,163,20.5,50,11.961
8,136.45,158.71,26.452,64.516,8.9712
8,565,88.571,58.571,142.86,8.4714
8,442.96,160.4,24.322,59.321,6.2291
8,154.29,160.36,22.334,54.474,6.2226
8,162.99,160.36,22.334,54.474,4.3694
8,453.75,155,20.5,50,4.1767
8,548.63,153.8,34.577,84.335,2.1627
9,173.75,163,20.5,50,17.829
9,532.87,145.85,37.762,92.102,13.234
9,136.45,158.71,26.452,64.516,11.222
9,197.82,160.36,22.334,54.474,9.9764
9,445.99,156,22.334,54.474,7.5867
9,125.33,165.15,24.322,59.321,6.4985
9,550.16,112.17,53.647,130.85,6.3721
9,146.77,158.71,26.452,64.516,6.286
9,571.15,101.74,53.647,130.85,5.3074
9,437.28,160.36,22.334,54.474,1.6537
9,163.26,150.89,24.322,59.321,0.13686
10,173.75,163,20.5,50,19.592
10,197.75,163,20.5,50,15.016
10,565,88.571,58.571,142.86,8.0604
10,535.16,147.04,34.577,84.335,7.6904
10,128.16,169.09,22.334,54.474,7.5745
10,136.45,158.71,26.452,64.516,6.879
10,453.75,159,20.5,50,6.238
10,149.04,160.4,24.322,59.321,6.1579
10,162.99,160.36,22.334,54.474,5.2961
10,505.75,155,20.5,50,2.5204
10,441.75,159,20.5,50,2.2937
11,197.82,160.36,22.334,54.474,14.762
11,149.04,160.4,24.322,59.321,13.544
11,171.7,156,22.334,54.474,11.906
11,565.83,76.667,68.333,166.67,7.672
11,453.75,159,20.5,50,6.0101
11,540.23,145.85,37.762,92.102,5.8166
11,162.99,160.36,22.334,54.474,2.3444
11,123.81,164.73,22.334,54.474,2.2846
11,136.45,158.71,26.452,64.516,2.1263
11,504.59,155.64,24.322,59.321,1.0332
12,197.82,160.36,22.334,54.474,15.624
12,149.93,160.36,22.334,54.474,11.409
12,540.23,145.85,37.762,92.102,10.112
12,168,155.64,24.322,59.321,9.1899
12,136.45,158.71,26.452,64.516,8.4305
12,568.84,147.04,34.577,84.335,7.7598
12,121.42,162.35,28.991,70.709,6.0122
12,158.52,155.64,24.322,59.321,4.2689
12,577.31,93.6,49.058,119.65,4.1931
12,454.69,156,22.334,54.474,4.0126
13,168,155.64,24.322,59.321,19.713
13,197.82,160.36,22.334,54.474,16.653
13,153.78,155.64,24.322,59.321,11.63
13,571.15,101.74,53.647,130.85,11.028
13,541.89,147.04,34.577,84.335,10.68
